{'method': 'CDAN+E', 'gpu': '0', 'num_iterations': 150000, 'test_interval': 200, 'snapshot_interval': 5000, 'output_for_test': True, 'output_path': 'snapshot/san', 'out_file': <_io.TextIOWrapper name='snapshot/san/log.txt' mode='w' encoding='UTF-8'>, 'prep': {'test_10crop': False, 'params': {'resize_size': 256, 'crop_size': 224, 'alexnet': False}}, 'loss': {'trade_off': 1.0, 'random': False, 'random_dim': 1024}, 'network': {'name': <class 'network.ResNetFc'>, 'params': {'resnet_name': 'ResNet50', 'use_bottleneck': True, 'bottleneck_dim': 256, 'new_cls': True, 'class_num': 87}}, 'optimizer': {'type': <class 'torch.optim.sgd.SGD'>, 'optim_params': {'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0005, 'nesterov': True}, 'lr_type': 'inv', 'lr_param': {'lr': 0.0002, 'gamma': 0.001, 'power': 0.75}}, 'dataset': 'office', 'data': {'source': {'list_path': '/home/adarsh/project/CDAN/pytorch/sketchy_train.txt', 'batch_size': 32}, 'target': {'list_path': '/home/adarsh/project/CDAN/pytorch/quick_draw_train.txt', 'batch_size': 32}, 'test': {'list_path': '/home/adarsh/project/CDAN/pytorch/quick_draw_val.txt', 'batch_size': 32}, 'source_test': {'list_path': '/home/adarsh/project/CDAN/pytorch/sketchy_val.txt', 'batch_size': 32}}}iter: 00199, precision: 0.05747
iter: 90799, precision: 0.43543
iter: 90999, precision: 0.44287
iter: 91199, precision: 0.43949
iter: 91399, precision: 0.44106
iter: 91599, precision: 0.43813
iter: 91799, precision: 0.43904
iter: 91999, precision: 0.43611
iter: 92199, precision: 0.44557
iter: 92399, precision: 0.43588
iter: 92599, precision: 0.43565
iter: 92799, precision: 0.44354
iter: 92999, precision: 0.44039
iter: 93199, precision: 0.43723
iter: 93399, precision: 0.43836
iter: 93599, precision: 0.44039
iter: 93799, precision: 0.44264
iter: 93999, precision: 0.43791
iter: 94199, precision: 0.44287
iter: 94399, precision: 0.43904
iter: 94599, precision: 0.44377
iter: 94799, precision: 0.43746
iter: 94999, precision: 0.44084
iter: 95199, precision: 0.43971
iter: 95399, precision: 0.43723
iter: 95599, precision: 0.43656
iter: 95799, precision: 0.44129
iter: 95999, precision: 0.43949
iter: 96199, precision: 0.43498
iter: 96399, precision: 0.43971
iter: 96599, precision: 0.43926
iter: 96799, precision: 0.43746
iter: 96999, precision: 0.44174
iter: 97199, precision: 0.44106
iter: 97399, precision: 0.43994
iter: 97599, precision: 0.43272
iter: 97799, precision: 0.44354
iter: 97999, precision: 0.44242
iter: 98199, precision: 0.43656
iter: 98399, precision: 0.43295
iter: 98599, precision: 0.44061
iter: 98799, precision: 0.44332
iter: 98999, precision: 0.43926
